Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1098     0.00     0.00  std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> >::_Tuple_impl<Drawable*&, std::default_delete<Drawable>, void>(Drawable*&, std::default_delete<Drawable>&&)
  0.00      0.00     0.00     1098     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<Drawable> >::_Tuple_impl<std::default_delete<Drawable> >(std::default_delete<Drawable>&&)
  0.00      0.00     0.00     1098     0.00     0.00  std::__uniq_ptr_impl<Drawable, std::default_delete<Drawable> >::__uniq_ptr_impl<std::default_delete<Drawable> >(Drawable*, std::default_delete<Drawable>&&)
  0.00      0.00     0.00     1098     0.00     0.00  std::tuple<Drawable*, std::default_delete<Drawable> >::tuple<Drawable*&, std::default_delete<Drawable>, true>(Drawable*&, std::default_delete<Drawable>&&)
  0.00      0.00     0.00     1098     0.00     0.00  void std::_Destroy<std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::unique_ptr<Drawable, std::default_delete<Drawable> >*)
  0.00      0.00     0.00     1082     0.00     0.00  Drawable::~Drawable()
  0.00      0.00     0.00     1082     0.00     0.00  void __gnu_cxx::new_allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > >::construct<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00     1082     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::operator->() const
  0.00      0.00     0.00     1082     0.00     0.00  std::default_delete<Drawable>::operator()(Drawable*) const
  0.00      0.00     0.00     1082     0.00     0.00  void std::allocator_traits<std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::construct<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > >&, std::unique_ptr<Drawable, std::default_delete<Drawable> >*, std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00     1082     0.00     0.00  void std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::emplace_back<std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00     1082     0.00     0.00  std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::push_back(std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
  0.00      0.00     0.00     1082     0.00     0.00  std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::operator[](unsigned long)
  0.00      0.00     0.00     1062     0.00     0.00  Game::convertGLXCoordinate(int)
  0.00      0.00     0.00     1062     0.00     0.00  Game::convertGLYCoordinate(int)
  0.00      0.00     0.00     1008     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::~unique_ptr()
  0.00      0.00     0.00      894     0.00     0.00  bool __gnu_cxx::operator!=<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >(__gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&, __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > > const&)
  0.00      0.00     0.00      883     0.00     0.00  GameField::getTurnCount()
  0.00      0.00     0.00      870     0.00     0.00  TankDrawable::setMax_health(int)
  0.00      0.00     0.00      870     0.00     0.00  TankDrawable::draw(int, int)
  0.00      0.00     0.00      870     0.00     0.00  TankDrawable::setHealth(int)
  0.00      0.00     0.00      870     0.00     0.00  TankDrawable::TankDrawable(int, float, float, direction, int, int, float, float, bool)
  0.00      0.00     0.00      870     0.00     0.00  std::_Head_base<0ul, TankDrawable*, false>::_Head_base()
  0.00      0.00     0.00      870     0.00     0.00  std::_Head_base<1ul, std::default_delete<TankDrawable>, true>::_M_head(std::_Head_base<1ul, std::default_delete<TankDrawable>, true>&)
  0.00      0.00     0.00      870     0.00     0.00  std::_Head_base<1ul, std::default_delete<TankDrawable>, true>::_Head_base()
  0.00      0.00     0.00      870     0.00     0.00  std::_Head_base<1ul, std::default_delete<Drawable>, true>::_Head_base<std::default_delete<TankDrawable> >(std::default_delete<TankDrawable>&&)
  0.00      0.00     0.00      870     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::get_deleter()
  0.00      0.00     0.00      870     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::release()
  0.00      0.00     0.00      870     0.00     0.00  std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >::unique_ptr<std::default_delete<TankDrawable>, void>(TankDrawable*)
  0.00      0.00     0.00      870     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::unique_ptr<TankDrawable, std::default_delete<TankDrawable>, void>(std::unique_ptr<TankDrawable, std::default_delete<TankDrawable> >&&)
  0.00      0.00     0.00      870     0.00     0.00  std::_Tuple_impl<0ul, TankDrawable*, std::default_delete<TankDrawable> >::_Tuple_impl()
  0.00      0.00     0.00      870     0.00     0.00  std::_Tuple_impl<0ul, Drawable*, std::default_delete<Drawable> >::_Tuple_impl<Drawable*&, std::default_delete<TankDrawable>, void>(Drawable*&, std::default_delete<TankDrawable>&&)
  0.00      0.00     0.00      870     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<TankDrawable> >::_M_head(std::_Tuple_impl<1ul, std::default_delete<TankDrawable> >&)
  0.00      0.00     0.00      870     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<TankDrawable> >::_Tuple_impl()
  0.00      0.00     0.00      870     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<Drawable> >::_Tuple_impl<std::default_delete<TankDrawable> >(std::default_delete<TankDrawable>&&)
  0.00      0.00     0.00      870     0.00     0.00  std::default_delete<Drawable>::default_delete<TankDrawable, void>(std::default_delete<TankDrawable> const&)
  0.00      0.00     0.00      870     0.00     0.00  std::__uniq_ptr_impl<TankDrawable, std::default_delete<TankDrawable> >::_M_deleter()
  0.00      0.00     0.00      870     0.00     0.00  std::__uniq_ptr_impl<TankDrawable, std::default_delete<TankDrawable> >::__uniq_ptr_impl(TankDrawable*)
  0.00      0.00     0.00      870     0.00     0.00  std::__uniq_ptr_impl<Drawable, std::default_delete<Drawable> >::__uniq_ptr_impl<std::default_delete<TankDrawable> >(Drawable*, std::default_delete<TankDrawable>&&)
  0.00      0.00     0.00      870     0.00     0.00  std::tuple<TankDrawable*, std::default_delete<TankDrawable> >::tuple<TankDrawable*, std::default_delete<TankDrawable>, true>()
  0.00      0.00     0.00      870     0.00     0.00  std::tuple<Drawable*, std::default_delete<Drawable> >::tuple<Drawable*&, std::default_delete<TankDrawable>, true>(Drawable*&, std::default_delete<TankDrawable>&&)
